HON,Date
0.8156650066375732,1962-06-06 00:00:00-04:00
0.8132011294364929,1962-06-07 00:00:00-04:00
0.8230578899383545,1962-06-08 00:00:00-04:00
0.79841548204422,1962-06-11 00:00:00-04:00
0.7811654210090637,1962-06-12 00:00:00-04:00
0.7713091969490051,1962-06-13 00:00:00-04:00
0.7540591955184937,1962-06-14 00:00:00-04:00
0.7639153599739075,1962-06-15 00:00:00-04:00
0.7491300702095032,1962-06-18 00:00:00-04:00
0.7639153599739075,1962-06-19 00:00:00-04:00
0.756523072719574,1962-06-20 00:00:00-04:00
0.7392734289169312,1962-06-21 00:00:00-04:00
0.7146307229995728,1962-06-22 00:00:00-04:00
0.7097020745277405,1962-06-25 00:00:00-04:00
0.7170947790145874,1962-06-26 00:00:00-04:00
0.7244884371757507,1962-06-27 00:00:00-04:00
0.7491300702095032,1962-06-28 00:00:00-04:00
0.766380250453949,1962-06-29 00:00:00-04:00
0.7589872479438782,1962-07-02 00:00:00-04:00
0.7688445448875427,1962-07-03 00:00:00-04:00
0.7787013649940491,1962-07-05 00:00:00-04:00
0.7540591955184937,1962-07-06 00:00:00-04:00
0.7466661334037781,1962-07-09 00:00:00-04:00
0.7688445448875427,1962-07-10 00:00:00-04:00
0.7688445448875427,1962-07-11 00:00:00-04:00
0.7688445448875427,1962-07-12 00:00:00-04:00
0.766380250453949,1962-07-13 00:00:00-04:00
0.7491300702095032,1962-07-16 00:00:00-04:00
0.7392734289169312,1962-07-17 00:00:00-04:00
0.7220240831375122,1962-07-18 00:00:00-04:00
0.7195594310760498,1962-07-19 00:00:00-04:00
0.7146307229995728,1962-07-20 00:00:00-04:00
0.7146307229995728,1962-07-23 00:00:00-04:00
0.7170947790145874,1962-07-24 00:00:00-04:00
0.7121666073799133,1962-07-25 00:00:00-04:00
0.7195594310760498,1962-07-26 00:00:00-04:00
0.7195594310760498,1962-07-27 00:00:00-04:00
0.7244884371757507,1962-07-30 00:00:00-04:00
0.7294163703918457,1962-07-31 00:00:00-04:00
0.7195594310760498,1962-08-01 00:00:00-04:00
0.7170947790145874,1962-08-02 00:00:00-04:00
0.7244884371757507,1962-08-03 00:00:00-04:00
0.7294163703918457,1962-08-06 00:00:00-04:00
0.7334080338478088,1962-08-07 00:00:00-04:00
0.7284191250801086,1962-08-08 00:00:00-04:00
0.7234296202659607,1962-08-09 00:00:00-04:00
0.7284191250801086,1962-08-10 00:00:00-04:00
0.7284191250801086,1962-08-13 00:00:00-04:00
0.7284191250801086,1962-08-14 00:00:00-04:00
0.7483758926391602,1962-08-15 00:00:00-04:00
0.738396942615509,1962-08-16 00:00:00-04:00
0.7458809018135071,1962-08-17 00:00:00-04:00
0.7583531737327576,1962-08-20 00:00:00-04:00
0.7583531737327576,1962-08-21 00:00:00-04:00
0.778310239315033,1962-08-22 00:00:00-04:00
0.7683322429656982,1962-08-23 00:00:00-04:00
0.7583531737327576,1962-08-24 00:00:00-04:00
0.7608484029769897,1962-08-27 00:00:00-04:00
0.7558591365814209,1962-08-28 00:00:00-04:00
0.7558591365814209,1962-08-29 00:00:00-04:00
0.753364622592926,1962-08-30 00:00:00-04:00
0.7608484029769897,1962-08-31 00:00:00-04:00
0.7558591365814209,1962-09-04 00:00:00-04:00
0.753364622592926,1962-09-05 00:00:00-04:00
