ENPH,Date
4.610000133514404,2012-09-10 00:00:00-04:00
4.679999828338623,2012-09-11 00:00:00-04:00
4.840000152587891,2012-09-12 00:00:00-04:00
4.900000095367432,2012-09-13 00:00:00-04:00
5.21999979019165,2012-09-14 00:00:00-04:00
4.989999771118164,2012-09-17 00:00:00-04:00
4.96999979019165,2012-09-18 00:00:00-04:00
5.110000133514404,2012-09-19 00:00:00-04:00
5.119999885559082,2012-09-20 00:00:00-04:00
5.110000133514404,2012-09-21 00:00:00-04:00
4.880000114440918,2012-09-24 00:00:00-04:00
4.75,2012-09-25 00:00:00-04:00
4.75,2012-09-26 00:00:00-04:00
4.599999904632568,2012-09-27 00:00:00-04:00
4.139999866485596,2012-09-28 00:00:00-04:00
3.890000104904175,2012-10-01 00:00:00-04:00
3.8399999141693115,2012-10-02 00:00:00-04:00
3.940000057220459,2012-10-03 00:00:00-04:00
3.8499999046325684,2012-10-04 00:00:00-04:00
3.6500000953674316,2012-10-05 00:00:00-04:00
3.640000104904175,2012-10-08 00:00:00-04:00
3.3299999237060547,2012-10-09 00:00:00-04:00
3.1500000953674316,2012-10-10 00:00:00-04:00
3.319999933242798,2012-10-11 00:00:00-04:00
3.630000114440918,2012-10-12 00:00:00-04:00
3.799999952316284,2012-10-15 00:00:00-04:00
3.619999885559082,2012-10-16 00:00:00-04:00
3.759999990463257,2012-10-17 00:00:00-04:00
3.700000047683716,2012-10-18 00:00:00-04:00
3.700000047683716,2012-10-19 00:00:00-04:00
3.509999990463257,2012-10-22 00:00:00-04:00
3.4200000762939453,2012-10-23 00:00:00-04:00
3.490000009536743,2012-10-24 00:00:00-04:00
3.640000104904175,2012-10-25 00:00:00-04:00
3.509999990463257,2012-10-26 00:00:00-04:00
3.6700000762939453,2012-10-31 00:00:00-04:00
3.5,2012-11-01 00:00:00-04:00
3.3299999237060547,2012-11-02 00:00:00-04:00
3.430000066757202,2012-11-05 00:00:00-05:00
3.5199999809265137,2012-11-06 00:00:00-05:00
3.2799999713897705,2012-11-07 00:00:00-05:00
2.450000047683716,2012-11-08 00:00:00-05:00
2.6500000953674316,2012-11-09 00:00:00-05:00
2.4200000762939453,2012-11-12 00:00:00-05:00
2.2100000381469727,2012-11-13 00:00:00-05:00
2.109999895095825,2012-11-14 00:00:00-05:00
2.0,2012-11-15 00:00:00-05:00
1.9900000095367432,2012-11-16 00:00:00-05:00
2.2200000286102295,2012-11-19 00:00:00-05:00
2.5899999141693115,2012-11-20 00:00:00-05:00
2.7300000190734863,2012-11-21 00:00:00-05:00
2.5799999237060547,2012-11-23 00:00:00-05:00
2.809999942779541,2012-11-26 00:00:00-05:00
2.7100000381469727,2012-11-27 00:00:00-05:00
2.5799999237060547,2012-11-28 00:00:00-05:00
2.5999999046325684,2012-11-29 00:00:00-05:00
2.7899999618530273,2012-11-30 00:00:00-05:00
2.9800000190734863,2012-12-03 00:00:00-05:00
2.880000114440918,2012-12-04 00:00:00-05:00
2.799999952316284,2012-12-05 00:00:00-05:00
2.7200000286102295,2012-12-06 00:00:00-05:00
2.6700000762939453,2012-12-07 00:00:00-05:00
2.5399999618530273,2012-12-10 00:00:00-05:00
2.9100000858306885,2012-12-11 00:00:00-05:00
3.0299999713897705,2012-12-12 00:00:00-05:00
2.950000047683716,2012-12-13 00:00:00-05:00
3.2200000286102295,2012-12-14 00:00:00-05:00
3.3499999046325684,2012-12-17 00:00:00-05:00
3.380000114440918,2012-12-18 00:00:00-05:00
3.180000066757202,2012-12-19 00:00:00-05:00
3.1500000953674316,2012-12-20 00:00:00-05:00
3.0299999713897705,2012-12-21 00:00:00-05:00
3.0899999141693115,2012-12-24 00:00:00-05:00
3.0299999713897705,2012-12-26 00:00:00-05:00
3.509999990463257,2012-12-27 00:00:00-05:00
3.5999999046325684,2012-12-28 00:00:00-05:00
3.6500000953674316,2012-12-31 00:00:00-05:00
3.7899999618530273,2013-01-02 00:00:00-05:00
3.7300000190734863,2013-01-03 00:00:00-05:00
3.9000000953674316,2013-01-04 00:00:00-05:00
3.75,2013-01-07 00:00:00-05:00
3.7100000381469727,2013-01-08 00:00:00-05:00
3.75,2013-01-09 00:00:00-05:00
3.7200000286102295,2013-01-10 00:00:00-05:00
3.7799999713897705,2013-01-11 00:00:00-05:00
3.7799999713897705,2013-01-14 00:00:00-05:00
3.8399999141693115,2013-01-15 00:00:00-05:00
3.8499999046325684,2013-01-16 00:00:00-05:00
3.9100000858306885,2013-01-17 00:00:00-05:00
3.7799999713897705,2013-01-18 00:00:00-05:00
3.7799999713897705,2013-01-22 00:00:00-05:00
3.7200000286102295,2013-01-23 00:00:00-05:00
3.7100000381469727,2013-01-24 00:00:00-05:00
3.680000066757202,2013-01-25 00:00:00-05:00
3.6700000762939453,2013-01-28 00:00:00-05:00
3.7699999809265137,2013-01-29 00:00:00-05:00
3.7899999618530273,2013-01-30 00:00:00-05:00
3.7699999809265137,2013-01-31 00:00:00-05:00
4.079999923706055,2013-02-01 00:00:00-05:00
3.9100000858306885,2013-02-04 00:00:00-05:00
4.329999923706055,2013-02-05 00:00:00-05:00
4.110000133514404,2013-02-06 00:00:00-05:00
4.239999771118164,2013-02-07 00:00:00-05:00
4.230000019073486,2013-02-08 00:00:00-05:00
4.269999980926514,2013-02-11 00:00:00-05:00
4.480000019073486,2013-02-12 00:00:00-05:00
4.329999923706055,2013-02-13 00:00:00-05:00
5.099999904632568,2013-02-14 00:00:00-05:00
5.03000020980835,2013-02-15 00:00:00-05:00
5.210000038146973,2013-02-19 00:00:00-05:00
4.989999771118164,2013-02-20 00:00:00-05:00
5.239999771118164,2013-02-21 00:00:00-05:00
5.239999771118164,2013-02-22 00:00:00-05:00
4.840000152587891,2013-02-25 00:00:00-05:00
5.050000190734863,2013-02-26 00:00:00-05:00
4.630000114440918,2013-02-27 00:00:00-05:00
4.929999828338623,2013-02-28 00:00:00-05:00
4.75,2013-03-01 00:00:00-05:00
4.670000076293945,2013-03-04 00:00:00-05:00
4.880000114440918,2013-03-05 00:00:00-05:00
4.920000076293945,2013-03-06 00:00:00-05:00
4.760000228881836,2013-03-07 00:00:00-05:00
5.239999771118164,2013-03-08 00:00:00-05:00
5.199999809265137,2013-03-11 00:00:00-04:00
5.880000114440918,2013-03-12 00:00:00-04:00
5.5,2013-03-13 00:00:00-04:00
5.920000076293945,2013-03-14 00:00:00-04:00
5.869999885559082,2013-03-15 00:00:00-04:00
5.599999904632568,2013-03-18 00:00:00-04:00
5.800000190734863,2013-03-19 00:00:00-04:00
6.019999980926514,2013-03-20 00:00:00-04:00
6.039999961853027,2013-03-21 00:00:00-04:00
5.960000038146973,2013-03-22 00:00:00-04:00
6.460000038146973,2013-03-25 00:00:00-04:00
6.519999980926514,2013-03-26 00:00:00-04:00
6.420000076293945,2013-03-27 00:00:00-04:00
6.199999809265137,2013-03-28 00:00:00-04:00
5.860000133514404,2013-04-01 00:00:00-04:00
5.900000095367432,2013-04-02 00:00:00-04:00
5.679999828338623,2013-04-03 00:00:00-04:00
6.150000095367432,2013-04-04 00:00:00-04:00
6.099999904632568,2013-04-05 00:00:00-04:00
5.78000020980835,2013-04-08 00:00:00-04:00
6.150000095367432,2013-04-09 00:00:00-04:00
6.099999904632568,2013-04-10 00:00:00-04:00
5.96999979019165,2013-04-11 00:00:00-04:00
5.880000114440918,2013-04-12 00:00:00-04:00
5.239999771118164,2013-04-15 00:00:00-04:00
5.940000057220459,2013-04-16 00:00:00-04:00
5.570000171661377,2013-04-17 00:00:00-04:00
5.46999979019165,2013-04-18 00:00:00-04:00
5.550000190734863,2013-04-19 00:00:00-04:00
5.809999942779541,2013-04-22 00:00:00-04:00
5.96999979019165,2013-04-23 00:00:00-04:00
6.199999809265137,2013-04-24 00:00:00-04:00
6.699999809265137,2013-04-25 00:00:00-04:00
7.25,2013-04-26 00:00:00-04:00
7.110000133514404,2013-04-29 00:00:00-04:00
7.039999961853027,2013-04-30 00:00:00-04:00
6.949999809265137,2013-05-01 00:00:00-04:00
7.5,2013-05-02 00:00:00-04:00
7.739999771118164,2013-05-03 00:00:00-04:00
7.849999904632568,2013-05-06 00:00:00-04:00
7.630000114440918,2013-05-07 00:00:00-04:00
7.440000057220459,2013-05-08 00:00:00-04:00
7.889999866485596,2013-05-09 00:00:00-04:00
7.920000076293945,2013-05-10 00:00:00-04:00
8.90999984741211,2013-05-13 00:00:00-04:00
9.65999984741211,2013-05-14 00:00:00-04:00
9.399999618530273,2013-05-15 00:00:00-04:00
8.9399995803833,2013-05-16 00:00:00-04:00
9.050000190734863,2013-05-17 00:00:00-04:00
9.100000381469727,2013-05-20 00:00:00-04:00
8.989999771118164,2013-05-21 00:00:00-04:00
8.430000305175781,2013-05-22 00:00:00-04:00
8.220000267028809,2013-05-23 00:00:00-04:00
8.149999618530273,2013-05-24 00:00:00-04:00
8.380000114440918,2013-05-28 00:00:00-04:00
7.900000095367432,2013-05-29 00:00:00-04:00
7.789999961853027,2013-05-30 00:00:00-04:00
7.71999979019165,2013-05-31 00:00:00-04:00
7.420000076293945,2013-06-03 00:00:00-04:00
7.039999961853027,2013-06-04 00:00:00-04:00
6.940000057220459,2013-06-05 00:00:00-04:00
6.960000038146973,2013-06-06 00:00:00-04:00
6.980000019073486,2013-06-07 00:00:00-04:00
7.0,2013-06-10 00:00:00-04:00
6.800000190734863,2013-06-11 00:00:00-04:00
6.170000076293945,2013-06-12 00:00:00-04:00
6.659999847412109,2013-06-13 00:00:00-04:00
6.599999904632568,2013-06-14 00:00:00-04:00
6.699999809265137,2013-06-17 00:00:00-04:00
6.909999847412109,2013-06-18 00:00:00-04:00
6.639999866485596,2013-06-19 00:00:00-04:00
6.53000020980835,2013-06-20 00:00:00-04:00
7.190000057220459,2013-06-21 00:00:00-04:00
6.650000095367432,2013-06-24 00:00:00-04:00
6.820000171661377,2013-06-25 00:00:00-04:00
6.940000057220459,2013-06-26 00:00:00-04:00
7.570000171661377,2013-06-27 00:00:00-04:00
7.730000019073486,2013-06-28 00:00:00-04:00
7.679999828338623,2013-07-01 00:00:00-04:00
7.320000171661377,2013-07-02 00:00:00-04:00
7.429999828338623,2013-07-03 00:00:00-04:00
7.5,2013-07-05 00:00:00-04:00
8.010000228881836,2013-07-08 00:00:00-04:00
8.149999618530273,2013-07-09 00:00:00-04:00
7.980000019073486,2013-07-10 00:00:00-04:00
7.909999847412109,2013-07-11 00:00:00-04:00
7.619999885559082,2013-07-12 00:00:00-04:00
8.079999923706055,2013-07-15 00:00:00-04:00
8.199999809265137,2013-07-16 00:00:00-04:00
7.949999809265137,2013-07-17 00:00:00-04:00
7.829999923706055,2013-07-18 00:00:00-04:00
7.400000095367432,2013-07-19 00:00:00-04:00
7.070000171661377,2013-07-22 00:00:00-04:00
7.239999771118164,2013-07-23 00:00:00-04:00
6.400000095367432,2013-07-24 00:00:00-04:00
6.710000038146973,2013-07-25 00:00:00-04:00
6.599999904632568,2013-07-26 00:00:00-04:00
6.300000190734863,2013-07-29 00:00:00-04:00
