FANG,Date
21.327640533447266,2013-03-27 00:00:00-04:00
21.92393684387207,2013-03-28 00:00:00-04:00
22.381364822387695,2013-04-01 00:00:00-04:00
22.087299346923828,2013-04-02 00:00:00-04:00
20.355606079101562,2013-04-03 00:00:00-04:00
20.461795806884766,2013-04-04 00:00:00-04:00
20.56798553466797,2013-04-05 00:00:00-04:00
21.278629302978516,2013-04-08 00:00:00-04:00
21.858585357666016,2013-04-09 00:00:00-04:00
21.303136825561523,2013-04-10 00:00:00-04:00
21.646209716796875,2013-04-11 00:00:00-04:00
21.752399444580078,2013-04-12 00:00:00-04:00
21.074419021606445,2013-04-15 00:00:00-04:00
21.842248916625977,2013-04-16 00:00:00-04:00
21.074419021606445,2013-04-17 00:00:00-04:00
21.65437889099121,2013-04-18 00:00:00-04:00
21.41749382019043,2013-04-19 00:00:00-04:00
22.03829002380371,2013-04-22 00:00:00-04:00
22.454877853393555,2013-04-23 00:00:00-04:00
22.136308670043945,2013-04-24 00:00:00-04:00
22.2996826171875,2013-04-25 00:00:00-04:00
21.956605911254883,2013-04-26 00:00:00-04:00
21.270462036132812,2013-04-29 00:00:00-04:00
21.450170516967773,2013-04-30 00:00:00-04:00
21.597198486328125,2013-05-01 00:00:00-04:00
22.136308670043945,2013-05-02 00:00:00-04:00
22.44670867919922,2013-05-03 00:00:00-04:00
23.492263793945312,2013-05-06 00:00:00-04:00
23.312557220458984,2013-05-07 00:00:00-04:00
24.121227264404297,2013-05-08 00:00:00-04:00
23.426918029785156,2013-05-09 00:00:00-04:00
23.345232009887695,2013-05-10 00:00:00-04:00
23.410581588745117,2013-05-13 00:00:00-04:00
23.58211326599121,2013-05-14 00:00:00-04:00
24.080385208129883,2013-05-15 00:00:00-04:00
24.456132888793945,2013-05-16 00:00:00-04:00
25.673219680786133,2013-05-17 00:00:00-04:00
26.16332244873047,2013-05-20 00:00:00-04:00
25.901935577392578,2013-05-21 00:00:00-04:00
26.579914093017578,2013-05-22 00:00:00-04:00
27.176204681396484,2013-05-23 00:00:00-04:00
28.03388023376465,2013-05-24 00:00:00-04:00
28.548490524291992,2013-05-28 00:00:00-04:00
28.55666160583496,2013-05-29 00:00:00-04:00
28.548490524291992,2013-05-30 00:00:00-04:00
27.584627151489258,2013-05-31 00:00:00-04:00
28.26259422302246,2013-06-03 00:00:00-04:00
27.837844848632812,2013-06-04 00:00:00-04:00
27.723480224609375,2013-06-05 00:00:00-04:00
28.246265411376953,2013-06-06 00:00:00-04:00
28.9569091796875,2013-06-07 00:00:00-04:00
28.376956939697266,2013-06-10 00:00:00-04:00
28.14824104309082,2013-06-11 00:00:00-04:00
28.123733520507812,2013-06-12 00:00:00-04:00
28.564828872680664,2013-06-13 00:00:00-04:00
28.49947738647461,2013-06-14 00:00:00-04:00
28.140073776245117,2013-06-17 00:00:00-04:00
28.597501754760742,2013-06-18 00:00:00-04:00
28.270761489868164,2013-06-19 00:00:00-04:00
26.661588668823242,2013-06-20 00:00:00-04:00
27.078182220458984,2013-06-21 00:00:00-04:00
26.155153274536133,2013-06-24 00:00:00-04:00
26.890304565429688,2013-06-25 00:00:00-04:00
27.486604690551758,2013-06-26 00:00:00-04:00
27.004669189453125,2013-06-27 00:00:00-04:00
27.2170467376709,2013-06-28 00:00:00-04:00
27.993040084838867,2013-07-01 00:00:00-04:00
28.229921340942383,2013-07-02 00:00:00-04:00
28.752702713012695,2013-07-03 00:00:00-04:00
29.316316604614258,2013-07-05 00:00:00-04:00
29.487855911254883,2013-07-08 00:00:00-04:00
29.81458854675293,2013-07-09 00:00:00-04:00
30.35369873046875,2013-07-10 00:00:00-04:00
30.71310806274414,2013-07-11 00:00:00-04:00
30.427227020263672,2013-07-12 00:00:00-04:00
30.443557739257812,2013-07-15 00:00:00-04:00
30.80296516418457,2013-07-16 00:00:00-04:00
30.762128829956055,2013-07-17 00:00:00-04:00
31.105188369750977,2013-07-18 00:00:00-04:00
32.15074920654297,2013-07-19 00:00:00-04:00
32.2406005859375,2013-07-22 00:00:00-04:00
31.68514633178711,2013-07-23 00:00:00-04:00
30.557918548583984,2013-07-24 00:00:00-04:00
30.83563995361328,2013-07-25 00:00:00-04:00
30.6069278717041,2013-07-26 00:00:00-04:00
30.770294189453125,2013-07-29 00:00:00-04:00
30.90098762512207,2013-07-30 00:00:00-04:00
31.1868839263916,2013-07-31 00:00:00-04:00
