GFS,Date
54.75,2022-04-08 00:00:00-04:00
54.040000915527344,2022-04-11 00:00:00-04:00
53.290000915527344,2022-04-12 00:00:00-04:00
54.83000183105469,2022-04-13 00:00:00-04:00
52.099998474121094,2022-04-14 00:00:00-04:00
52.650001525878906,2022-04-18 00:00:00-04:00
52.88999938964844,2022-04-19 00:00:00-04:00
53.189998626708984,2022-04-20 00:00:00-04:00
52.040000915527344,2022-04-21 00:00:00-04:00
50.7400016784668,2022-04-22 00:00:00-04:00
52.720001220703125,2022-04-25 00:00:00-04:00
49.5,2022-04-26 00:00:00-04:00
51.63999938964844,2022-04-27 00:00:00-04:00
54.060001373291016,2022-04-28 00:00:00-04:00
52.290000915527344,2022-04-29 00:00:00-04:00
53.77000045776367,2022-05-02 00:00:00-04:00
54.18000030517578,2022-05-03 00:00:00-04:00
56.5099983215332,2022-05-04 00:00:00-04:00
54.93000030517578,2022-05-05 00:00:00-04:00
56.369998931884766,2022-05-06 00:00:00-04:00
52.279998779296875,2022-05-09 00:00:00-04:00
52.72999954223633,2022-05-10 00:00:00-04:00
49.029998779296875,2022-05-11 00:00:00-04:00
49.70000076293945,2022-05-12 00:00:00-04:00
52.77000045776367,2022-05-13 00:00:00-04:00
53.099998474121094,2022-05-16 00:00:00-04:00
56.0,2022-05-17 00:00:00-04:00
53.689998626708984,2022-05-18 00:00:00-04:00
54.22999954223633,2022-05-19 00:00:00-04:00
55.0,2022-05-20 00:00:00-04:00
54.540000915527344,2022-05-23 00:00:00-04:00
55.47999954223633,2022-05-24 00:00:00-04:00
58.619998931884766,2022-05-25 00:00:00-04:00
59.4900016784668,2022-05-26 00:00:00-04:00
60.099998474121094,2022-05-27 00:00:00-04:00
59.689998626708984,2022-05-31 00:00:00-04:00
58.119998931884766,2022-06-01 00:00:00-04:00
59.61000061035156,2022-06-02 00:00:00-04:00
58.7599983215332,2022-06-03 00:00:00-04:00
57.22999954223633,2022-06-06 00:00:00-04:00
56.5099983215332,2022-06-07 00:00:00-04:00
54.7400016784668,2022-06-08 00:00:00-04:00
53.14500045776367,2022-06-09 00:00:00-04:00
51.75,2022-06-10 00:00:00-04:00
48.5099983215332,2022-06-13 00:00:00-04:00
47.38999938964844,2022-06-14 00:00:00-04:00
49.459999084472656,2022-06-15 00:00:00-04:00
45.43000030517578,2022-06-16 00:00:00-04:00
44.86000061035156,2022-06-17 00:00:00-04:00
45.439998626708984,2022-06-21 00:00:00-04:00
44.810001373291016,2022-06-22 00:00:00-04:00
43.65999984741211,2022-06-23 00:00:00-04:00
45.88999938964844,2022-06-24 00:00:00-04:00
45.41999816894531,2022-06-27 00:00:00-04:00
44.369998931884766,2022-06-28 00:00:00-04:00
43.060001373291016,2022-06-29 00:00:00-04:00
40.34000015258789,2022-06-30 00:00:00-04:00
38.810001373291016,2022-07-01 00:00:00-04:00
40.56999969482422,2022-07-05 00:00:00-04:00
41.08000183105469,2022-07-06 00:00:00-04:00
43.34000015258789,2022-07-07 00:00:00-04:00
45.27000045776367,2022-07-08 00:00:00-04:00
42.88999938964844,2022-07-11 00:00:00-04:00
41.47999954223633,2022-07-12 00:00:00-04:00
41.83000183105469,2022-07-13 00:00:00-04:00
44.41999816894531,2022-07-14 00:00:00-04:00
45.970001220703125,2022-07-15 00:00:00-04:00
45.09000015258789,2022-07-18 00:00:00-04:00
46.849998474121094,2022-07-19 00:00:00-04:00
48.52000045776367,2022-07-20 00:00:00-04:00
48.65999984741211,2022-07-21 00:00:00-04:00
48.15999984741211,2022-07-22 00:00:00-04:00
46.349998474121094,2022-07-25 00:00:00-04:00
46.130001068115234,2022-07-26 00:00:00-04:00
47.43000030517578,2022-07-27 00:00:00-04:00
47.400001525878906,2022-07-28 00:00:00-04:00
51.47999954223633,2022-07-29 00:00:00-04:00
54.540000915527344,2022-08-01 00:00:00-04:00
52.75,2022-08-02 00:00:00-04:00
54.09000015258789,2022-08-03 00:00:00-04:00
53.630001068115234,2022-08-04 00:00:00-04:00
53.09000015258789,2022-08-05 00:00:00-04:00
59.189998626708984,2022-08-08 00:00:00-04:00
55.66999816894531,2022-08-09 00:00:00-04:00
57.70000076293945,2022-08-10 00:00:00-04:00
58.04999923706055,2022-08-11 00:00:00-04:00
64.94999694824219,2022-08-12 00:00:00-04:00
63.22999954223633,2022-08-15 00:00:00-04:00
63.959999084472656,2022-08-16 00:00:00-04:00
61.470001220703125,2022-08-17 00:00:00-04:00
64.1500015258789,2022-08-18 00:00:00-04:00
61.20000076293945,2022-08-19 00:00:00-04:00
59.040000915527344,2022-08-22 00:00:00-04:00
59.86000061035156,2022-08-23 00:00:00-04:00
60.400001525878906,2022-08-24 00:00:00-04:00
64.5,2022-08-25 00:00:00-04:00
60.650001525878906,2022-08-26 00:00:00-04:00
59.040000915527344,2022-08-29 00:00:00-04:00
61.11000061035156,2022-08-30 00:00:00-04:00
59.81999969482422,2022-08-31 00:00:00-04:00
57.43000030517578,2022-09-01 00:00:00-04:00
57.880001068115234,2022-09-02 00:00:00-04:00
58.900001525878906,2022-09-06 00:00:00-04:00
59.77000045776367,2022-09-07 00:00:00-04:00
