KHC,Date
49.75273895263672,2015-12-10 00:00:00-05:00
48.94508361816406,2015-12-11 00:00:00-05:00
49.84757614135742,2015-12-14 00:00:00-05:00
50.574466705322266,2015-12-15 00:00:00-05:00
51.27680587768555,2015-12-16 00:00:00-05:00
50.51126480102539,2015-12-17 00:00:00-05:00
49.63336181640625,2015-12-18 00:00:00-05:00
50.54323959350586,2015-12-21 00:00:00-05:00
51.64078140258789,2015-12-22 00:00:00-05:00
52.75956726074219,2015-12-23 00:00:00-05:00
52.37010192871094,2015-12-24 00:00:00-05:00
51.98773956298828,2015-12-28 00:00:00-05:00
52.88701629638672,2015-12-29 00:00:00-05:00
52.22142028808594,2015-12-30 00:00:00-05:00
51.520416259765625,2015-12-31 00:00:00-05:00
51.477928161621094,2016-01-04 00:00:00-05:00
51.96650314331055,2016-01-05 00:00:00-05:00
52.065643310546875,2016-01-06 00:00:00-05:00
50.91144943237305,2016-01-07 00:00:00-05:00
50.401634216308594,2016-01-08 00:00:00-05:00
51.173439025878906,2016-01-11 00:00:00-05:00
51.85322570800781,2016-01-12 00:00:00-05:00
50.1396369934082,2016-01-13 00:00:00-05:00
50.0900764465332,2016-01-14 00:00:00-05:00
48.99961471557617,2016-01-15 00:00:00-05:00
49.68646240234375,2016-01-19 00:00:00-05:00
50.3945426940918,2016-01-20 00:00:00-05:00
51.725738525390625,2016-01-21 00:00:00-05:00
52.674591064453125,2016-01-22 00:00:00-05:00
52.4196662902832,2016-01-25 00:00:00-05:00
53.80045700073242,2016-01-26 00:00:00-05:00
53.79335021972656,2016-01-27 00:00:00-05:00
53.927921295166016,2016-01-28 00:00:00-05:00
55.27326583862305,2016-01-29 00:00:00-05:00
54.529781341552734,2016-02-01 00:00:00-05:00
53.79335021972656,2016-02-02 00:00:00-05:00
53.028629302978516,2016-02-03 00:00:00-05:00
52.504642486572266,2016-02-04 00:00:00-05:00
51.53456497192383,2016-02-05 00:00:00-05:00
50.42995071411133,2016-02-08 00:00:00-05:00
50.63529968261719,2016-02-09 00:00:00-05:00
51.06014633178711,2016-02-10 00:00:00-05:00
50.58572769165039,2016-02-11 00:00:00-05:00
50.92561340332031,2016-02-12 00:00:00-05:00
51.20176315307617,2016-02-16 00:00:00-05:00
52.5683708190918,2016-02-17 00:00:00-05:00
52.00898742675781,2016-02-18 00:00:00-05:00
52.05855941772461,2016-02-19 00:00:00-05:00
51.92403030395508,2016-02-22 00:00:00-05:00
51.562889099121094,2016-02-23 00:00:00-05:00
51.683258056640625,2016-02-24 00:00:00-05:00
53.07817840576172,2016-02-25 00:00:00-05:00
55.117488861083984,2016-02-26 00:00:00-05:00
54.536861419677734,2016-02-29 00:00:00-05:00
54.990028381347656,2016-03-01 00:00:00-05:00
54.86966323852539,2016-03-02 00:00:00-05:00
54.78468322753906,2016-03-03 00:00:00-05:00
54.664306640625,2016-03-04 00:00:00-05:00
54.16865158081055,2016-03-07 00:00:00-05:00
54.01995086669922,2016-03-08 00:00:00-05:00
54.26069641113281,2016-03-09 00:00:00-05:00
53.97038269042969,2016-03-10 00:00:00-05:00
54.487281799316406,2016-03-11 00:00:00-05:00
54.92630386352539,2016-03-14 00:00:00-04:00
55.07500076293945,2016-03-15 00:00:00-04:00
55.66352844238281,2016-03-16 00:00:00-04:00
55.649253845214844,2016-03-17 00:00:00-04:00
55.1498908996582,2016-03-18 00:00:00-04:00
54.63627624511719,2016-03-21 00:00:00-04:00
54.52928161621094,2016-03-22 00:00:00-04:00
54.79322814941406,2016-03-23 00:00:00-04:00
54.54354476928711,2016-03-24 00:00:00-04:00
55.470924377441406,2016-03-28 00:00:00-04:00
56.212833404541016,2016-03-29 00:00:00-04:00
56.28415298461914,2016-03-30 00:00:00-04:00
56.04159164428711,2016-03-31 00:00:00-04:00
56.41256332397461,2016-04-01 00:00:00-04:00
56.24846649169922,2016-04-04 00:00:00-04:00
55.649253845214844,2016-04-05 00:00:00-04:00
55.898921966552734,2016-04-06 00:00:00-04:00
55.28542709350586,2016-04-07 00:00:00-04:00
55.97739028930664,2016-04-08 00:00:00-04:00
55.577919006347656,2016-04-11 00:00:00-04:00
55.87752151489258,2016-04-12 00:00:00-04:00
55.214111328125,2016-04-13 00:00:00-04:00
55.05005645751953,2016-04-14 00:00:00-04:00
55.67780303955078,2016-04-15 00:00:00-04:00
55.88465881347656,2016-04-18 00:00:00-04:00
55.85614776611328,2016-04-19 00:00:00-04:00
55.58505630493164,2016-04-20 00:00:00-04:00
54.7432861328125,2016-04-21 00:00:00-04:00
55.71346664428711,2016-04-22 00:00:00-04:00
56.16288757324219,2016-04-25 00:00:00-04:00
56.1414794921875,2016-04-26 00:00:00-04:00
56.426815032958984,2016-04-27 00:00:00-04:00
55.898921966552734,2016-04-28 00:00:00-04:00
55.69206237792969,2016-04-29 00:00:00-04:00
56.726436614990234,2016-05-02 00:00:00-04:00
56.127197265625,2016-05-03 00:00:00-04:00
57.0545768737793,2016-05-04 00:00:00-04:00
59.18753433227539,2016-05-05 00:00:00-04:00
59.92229461669922,2016-05-06 00:00:00-04:00
60.10773849487305,2016-05-09 00:00:00-04:00
61.448875427246094,2016-05-10 00:00:00-04:00
60.7783088684082,2016-05-11 00:00:00-04:00
