JD,Date
22.51316261291504,2014-10-29 00:00:00-04:00
22.307647705078125,2014-10-30 00:00:00-04:00
22.316987991333008,2014-10-31 00:00:00-04:00
23.139047622680664,2014-11-03 00:00:00-05:00
23.269826889038086,2014-11-04 00:00:00-05:00
22.33567237854004,2014-11-05 00:00:00-05:00
22.91485023498535,2014-11-06 00:00:00-05:00
23.111021041870117,2014-11-07 00:00:00-05:00
24.52159881591797,2014-11-10 00:00:00-05:00
24.11056900024414,2014-11-11 00:00:00-05:00
25.829416275024414,2014-11-12 00:00:00-05:00
25.52114486694336,2014-11-13 00:00:00-05:00
25.231557846069336,2014-11-14 00:00:00-05:00
23.35390281677246,2014-11-17 00:00:00-05:00
23.736907958984375,2014-11-18 00:00:00-05:00
22.886825561523438,2014-11-19 00:00:00-05:00
22.186206817626953,2014-11-20 00:00:00-05:00
22.494478225708008,2014-11-21 00:00:00-05:00
22.457115173339844,2014-11-24 00:00:00-05:00
22.223573684692383,2014-11-25 00:00:00-05:00
22.2142333984375,2014-11-26 00:00:00-05:00
21.971351623535156,2014-11-28 00:00:00-05:00
20.52341079711914,2014-12-01 00:00:00-05:00
22.33567237854004,2014-12-02 00:00:00-05:00
22.980241775512695,2014-12-03 00:00:00-05:00
22.858800888061523,2014-12-04 00:00:00-05:00
22.279624938964844,2014-12-05 00:00:00-05:00
21.709787368774414,2014-12-08 00:00:00-05:00
23.746248245239258,2014-12-09 00:00:00-05:00
23.120363235473633,2014-12-10 00:00:00-05:00
23.157732009887695,2014-12-11 00:00:00-05:00
22.391721725463867,2014-12-12 00:00:00-05:00
21.728471755981445,2014-12-15 00:00:00-05:00
21.607030868530273,2014-12-16 00:00:00-05:00
21.952669143676758,2014-12-17 00:00:00-05:00
22.67197036743164,2014-12-18 00:00:00-05:00
22.95221519470215,2014-12-19 00:00:00-05:00
23.260488510131836,2014-12-22 00:00:00-05:00
23.101680755615234,2014-12-23 00:00:00-05:00
22.989582061767578,2014-12-24 00:00:00-05:00
22.942873001098633,2014-12-26 00:00:00-05:00
22.494478225708008,2014-12-29 00:00:00-05:00
21.719131469726562,2014-12-30 00:00:00-05:00
21.616371154785156,2014-12-31 00:00:00-05:00
22.438430786132812,2015-01-02 00:00:00-05:00
22.961557388305664,2015-01-05 00:00:00-05:00
22.91485023498535,2015-01-06 00:00:00-05:00
