PEP,Date
0.3908386528491974,1972-11-01 00:00:00-05:00
0.39376404881477356,1972-11-02 00:00:00-05:00
0.4001999497413635,1972-11-03 00:00:00-05:00
0.399029940366745,1972-11-06 00:00:00-05:00
0.4007854461669922,1972-11-08 00:00:00-05:00
0.4013705551624298,1972-11-09 00:00:00-05:00
0.4001999497413635,1972-11-10 00:00:00-05:00
0.4013705551624298,1972-11-13 00:00:00-05:00
0.4066360890865326,1972-11-14 00:00:00-05:00
0.4054660499095917,1972-11-15 00:00:00-05:00
0.40780648589134216,1972-11-16 00:00:00-05:00
0.4206783175468445,1972-11-17 00:00:00-05:00
0.4206783175468445,1972-11-20 00:00:00-05:00
0.4124867022037506,1972-11-21 00:00:00-05:00
0.4136570990085602,1972-11-22 00:00:00-05:00
0.4130719006061554,1972-11-24 00:00:00-05:00
0.41424235701560974,1972-11-27 00:00:00-05:00
0.4119020998477936,1972-11-28 00:00:00-05:00
0.4107317626476288,1972-11-29 00:00:00-05:00
0.40780648589134216,1972-11-30 00:00:00-05:00
0.40780648589134216,1972-12-01 00:00:00-05:00
0.41015344858169556,1972-12-04 00:00:00-05:00
0.4125008285045624,1972-12-05 00:00:00-05:00
0.41660797595977783,1972-12-06 00:00:00-05:00
0.4218888282775879,1972-12-07 00:00:00-05:00
0.42012837529182434,1972-12-08 00:00:00-05:00
0.41778138279914856,1972-12-11 00:00:00-05:00
0.4154345691204071,1972-12-12 00:00:00-05:00
0.4148474335670471,1972-12-13 00:00:00-05:00
0.41308721899986267,1972-12-14 00:00:00-05:00
0.4136736989021301,1972-12-15 00:00:00-05:00
0.41308721899986267,1972-12-18 00:00:00-05:00
0.407219260931015,1972-12-19 00:00:00-05:00
0.40369874238967896,1972-12-20 00:00:00-05:00
0.3984178304672241,1972-12-21 00:00:00-05:00
0.40017834305763245,1972-12-22 00:00:00-05:00
0.3984178304672241,1972-12-26 00:00:00-05:00
0.4025256037712097,1972-12-27 00:00:00-05:00
0.40898022055625916,1972-12-29 00:00:00-05:00
0.4125008285045624,1973-01-02 00:00:00-05:00
0.4095667600631714,1973-01-03 00:00:00-05:00
