MU,Date
2.4439594745635986,1984-11-02 00:00:00-05:00
2.480077028274536,1984-11-05 00:00:00-05:00
2.5884294509887695,1984-11-06 00:00:00-05:00
2.5523123741149902,1984-11-07 00:00:00-05:00
2.5643513202667236,1984-11-08 00:00:00-05:00
2.576390504837036,1984-11-09 00:00:00-05:00
2.576390504837036,1984-11-12 00:00:00-05:00
2.407841682434082,1984-11-13 00:00:00-05:00
2.4680373668670654,1984-11-14 00:00:00-05:00
2.5041558742523193,1984-11-15 00:00:00-05:00
2.4198813438415527,1984-11-16 00:00:00-05:00
2.3717241287231445,1984-11-19 00:00:00-05:00
2.395803213119507,1984-11-20 00:00:00-05:00
2.4559988975524902,1984-11-21 00:00:00-05:00
2.528233766555786,1984-11-23 00:00:00-05:00
2.5402731895446777,1984-11-26 00:00:00-05:00
2.6486263275146484,1984-11-27 00:00:00-05:00
2.696782350540161,1984-11-28 00:00:00-05:00
2.576390504837036,1984-11-29 00:00:00-05:00
2.696782350540161,1984-11-30 00:00:00-05:00
2.6245474815368652,1984-12-03 00:00:00-05:00
2.6486263275146484,1984-12-04 00:00:00-05:00
2.6727042198181152,1984-12-05 00:00:00-05:00
2.829214572906494,1984-12-06 00:00:00-05:00
2.7690179347991943,1984-12-07 00:00:00-05:00
2.732900619506836,1984-12-10 00:00:00-05:00
2.732900619506836,1984-12-11 00:00:00-05:00
2.7208609580993652,1984-12-12 00:00:00-05:00
2.6486263275146484,1984-12-13 00:00:00-05:00
2.6245474815368652,1984-12-14 00:00:00-05:00
2.6486263275146484,1984-12-17 00:00:00-05:00
2.5643513202667236,1984-12-18 00:00:00-05:00
2.660665988922119,1984-12-19 00:00:00-05:00
2.5643513202667236,1984-12-20 00:00:00-05:00
2.612508535385132,1984-12-21 00:00:00-05:00
2.6847434043884277,1984-12-24 00:00:00-05:00
2.732900619506836,1984-12-26 00:00:00-05:00
2.7088217735290527,1984-12-27 00:00:00-05:00
2.6486263275146484,1984-12-28 00:00:00-05:00
2.6245474815368652,1984-12-31 00:00:00-05:00
2.612508535385132,1985-01-02 00:00:00-05:00
2.5523123741149902,1985-01-03 00:00:00-05:00
2.4559988975524902,1985-01-04 00:00:00-05:00
2.359685182571411,1985-01-07 00:00:00-05:00
2.1790964603424072,1985-01-08 00:00:00-05:00
2.0827832221984863,1985-01-09 00:00:00-05:00
2.118901252746582,1985-01-10 00:00:00-05:00
2.1068623065948486,1985-01-11 00:00:00-05:00
2.311527729034424,1985-01-14 00:00:00-05:00
2.359685182571411,1985-01-15 00:00:00-05:00
2.2994890213012695,1985-01-16 00:00:00-05:00
2.215214252471924,1985-01-17 00:00:00-05:00
2.239292860031128,1985-01-18 00:00:00-05:00
2.3717241287231445,1985-01-21 00:00:00-05:00
2.4439594745635986,1985-01-22 00:00:00-05:00
