PYPL,Date
34.689998626708984,2015-12-11 00:00:00-05:00
35.0099983215332,2015-12-14 00:00:00-05:00
36.31999969482422,2015-12-15 00:00:00-05:00
35.97999954223633,2015-12-16 00:00:00-05:00
35.540000915527344,2015-12-17 00:00:00-05:00
34.97999954223633,2015-12-18 00:00:00-05:00
36.08000183105469,2015-12-21 00:00:00-05:00
36.80500030517578,2015-12-22 00:00:00-05:00
37.11000061035156,2015-12-23 00:00:00-05:00
37.06999969482422,2015-12-24 00:00:00-05:00
36.61000061035156,2015-12-28 00:00:00-05:00
37.08000183105469,2015-12-29 00:00:00-05:00
36.47999954223633,2015-12-30 00:00:00-05:00
36.20000076293945,2015-12-31 00:00:00-05:00
34.75,2016-01-04 00:00:00-05:00
34.310001373291016,2016-01-05 00:00:00-05:00
33.97999954223633,2016-01-06 00:00:00-05:00
33.130001068115234,2016-01-07 00:00:00-05:00
32.689998626708984,2016-01-08 00:00:00-05:00
33.040000915527344,2016-01-11 00:00:00-05:00
33.08000183105469,2016-01-12 00:00:00-05:00
32.119998931884766,2016-01-13 00:00:00-05:00
32.869998931884766,2016-01-14 00:00:00-05:00
32.310001373291016,2016-01-15 00:00:00-05:00
32.20000076293945,2016-01-19 00:00:00-05:00
31.200000762939453,2016-01-20 00:00:00-05:00
31.200000762939453,2016-01-21 00:00:00-05:00
31.690000534057617,2016-01-22 00:00:00-05:00
31.469999313354492,2016-01-25 00:00:00-05:00
31.969999313354492,2016-01-26 00:00:00-05:00
31.59000015258789,2016-01-27 00:00:00-05:00
34.2400016784668,2016-01-28 00:00:00-05:00
36.13999938964844,2016-01-29 00:00:00-05:00
37.08000183105469,2016-02-01 00:00:00-05:00
36.83000183105469,2016-02-02 00:00:00-05:00
37.0099983215332,2016-02-03 00:00:00-05:00
37.16999816894531,2016-02-04 00:00:00-05:00
35.06999969482422,2016-02-05 00:00:00-05:00
33.61000061035156,2016-02-08 00:00:00-05:00
32.70000076293945,2016-02-09 00:00:00-05:00
32.900001525878906,2016-02-10 00:00:00-05:00
33.52000045776367,2016-02-11 00:00:00-05:00
34.29999923706055,2016-02-12 00:00:00-05:00
35.459999084472656,2016-02-16 00:00:00-05:00
36.36000061035156,2016-02-17 00:00:00-05:00
36.310001373291016,2016-02-18 00:00:00-05:00
35.7599983215332,2016-02-19 00:00:00-05:00
36.0,2016-02-22 00:00:00-05:00
35.47999954223633,2016-02-23 00:00:00-05:00
36.470001220703125,2016-02-24 00:00:00-05:00
36.7400016784668,2016-02-25 00:00:00-05:00
37.4900016784668,2016-02-26 00:00:00-05:00
38.13999938964844,2016-02-29 00:00:00-05:00
39.25,2016-03-01 00:00:00-05:00
39.15999984741211,2016-03-02 00:00:00-05:00
39.02000045776367,2016-03-03 00:00:00-05:00
39.040000915527344,2016-03-04 00:00:00-05:00
38.97999954223633,2016-03-07 00:00:00-05:00
38.15999984741211,2016-03-08 00:00:00-05:00
38.56999969482422,2016-03-09 00:00:00-05:00
38.4900016784668,2016-03-10 00:00:00-05:00
39.4900016784668,2016-03-11 00:00:00-05:00
39.380001068115234,2016-03-14 00:00:00-04:00
39.27000045776367,2016-03-15 00:00:00-04:00
39.84000015258789,2016-03-16 00:00:00-04:00
39.93000030517578,2016-03-17 00:00:00-04:00
39.40999984741211,2016-03-18 00:00:00-04:00
41.13999938964844,2016-03-21 00:00:00-04:00
41.31999969482422,2016-03-22 00:00:00-04:00
40.52000045776367,2016-03-23 00:00:00-04:00
38.91999816894531,2016-03-24 00:00:00-04:00
38.7400016784668,2016-03-28 00:00:00-04:00
39.529998779296875,2016-03-29 00:00:00-04:00
