AEP,Date
0.8255544304847717,1962-06-05 00:00:00-04:00
0.8535396456718445,1962-06-06 00:00:00-04:00
0.8640348315238953,1962-06-07 00:00:00-04:00
0.8675329089164734,1962-06-08 00:00:00-04:00
0.8500412106513977,1962-06-11 00:00:00-04:00
0.8360497355461121,1962-06-12 00:00:00-04:00
0.8255544304847717,1962-06-13 00:00:00-04:00
0.797569990158081,1962-06-14 00:00:00-04:00
0.8010683059692383,1962-06-15 00:00:00-04:00
0.8098129034042358,1962-06-18 00:00:00-04:00
0.8150609731674194,1962-06-19 00:00:00-04:00
0.8063151836395264,1962-06-20 00:00:00-04:00
0.7905734181404114,1962-06-21 00:00:00-04:00
0.7835772633552551,1962-06-22 00:00:00-04:00
0.7678362131118774,1962-06-25 00:00:00-04:00
0.7643380761146545,1962-06-26 00:00:00-04:00
0.7555927038192749,1962-06-27 00:00:00-04:00
0.787075400352478,1962-06-28 00:00:00-04:00
0.7888244986534119,1962-06-29 00:00:00-04:00
0.8010683059692383,1962-07-02 00:00:00-04:00
0.8395469784736633,1962-07-03 00:00:00-04:00
0.8535396456718445,1962-07-05 00:00:00-04:00
0.8587868213653564,1962-07-06 00:00:00-04:00
0.8605356812477112,1962-07-09 00:00:00-04:00
0.8605356812477112,1962-07-10 00:00:00-04:00
0.8675329089164734,1962-07-11 00:00:00-04:00
0.8710300326347351,1962-07-12 00:00:00-04:00
0.8780264854431152,1962-07-13 00:00:00-04:00
0.8955167531967163,1962-07-16 00:00:00-04:00
0.886771559715271,1962-07-17 00:00:00-04:00
0.8675329089164734,1962-07-18 00:00:00-04:00
0.8657833933830261,1962-07-19 00:00:00-04:00
0.8675329089164734,1962-07-20 00:00:00-04:00
0.8710300326347351,1962-07-23 00:00:00-04:00
0.8675329089164734,1962-07-24 00:00:00-04:00
0.8780264854431152,1962-07-25 00:00:00-04:00
0.8780264854431152,1962-07-26 00:00:00-04:00
0.8920189142227173,1962-07-27 00:00:00-04:00
0.9165054559707642,1962-07-30 00:00:00-04:00
0.9112582206726074,1962-07-31 00:00:00-04:00
0.9025134444236755,1962-08-01 00:00:00-04:00
0.9025134444236755,1962-08-02 00:00:00-04:00
0.9025134444236755,1962-08-03 00:00:00-04:00
0.893768310546875,1962-08-06 00:00:00-04:00
0.8909533619880676,1962-08-07 00:00:00-04:00
0.8892032504081726,1962-08-08 00:00:00-04:00
0.8892032504081726,1962-08-09 00:00:00-04:00
0.882201075553894,1962-08-10 00:00:00-04:00
0.882201075553894,1962-08-13 00:00:00-04:00
0.882201075553894,1962-08-14 00:00:00-04:00
0.8787006139755249,1962-08-15 00:00:00-04:00
0.8769496083259583,1962-08-16 00:00:00-04:00
0.8716986775398254,1962-08-17 00:00:00-04:00
0.8874520659446716,1962-08-20 00:00:00-04:00
0.8857026100158691,1962-08-21 00:00:00-04:00
0.8804512023925781,1962-08-22 00:00:00-04:00
0.8804512023925781,1962-08-23 00:00:00-04:00
0.8857026100158691,1962-08-24 00:00:00-04:00
0.8787006139755249,1962-08-27 00:00:00-04:00
0.8734496235847473,1962-08-28 00:00:00-04:00
0.8787006139755249,1962-08-29 00:00:00-04:00
0.8857026100158691,1962-08-30 00:00:00-04:00
0.8927039504051208,1962-08-31 00:00:00-04:00
0.8892032504081726,1962-09-04 00:00:00-04:00
0.883952260017395,1962-09-05 00:00:00-04:00
0.8979547023773193,1962-09-06 00:00:00-04:00
0.8997054696083069,1962-09-07 00:00:00-04:00
0.8979547023773193,1962-09-10 00:00:00-04:00
0.8979547023773193,1962-09-11 00:00:00-04:00
0.9032061100006104,1962-09-12 00:00:00-04:00
0.8979547023773193,1962-09-13 00:00:00-04:00
0.8997054696083069,1962-09-14 00:00:00-04:00
0.8997054696083069,1962-09-17 00:00:00-04:00
0.9102074503898621,1962-09-18 00:00:00-04:00
0.9224604368209839,1962-09-19 00:00:00-04:00
0.9084576368331909,1962-09-20 00:00:00-04:00
