PANW,Date
17.07666778564453,2013-01-02 00:00:00-05:00
16.450000762939453,2013-01-03 00:00:00-05:00
16.083332061767578,2013-01-04 00:00:00-05:00
15.743332862854004,2013-01-07 00:00:00-05:00
15.876667022705078,2013-01-08 00:00:00-05:00
16.65999984741211,2013-01-09 00:00:00-05:00
16.866666793823242,2013-01-10 00:00:00-05:00
17.60333251953125,2013-01-11 00:00:00-05:00
17.450000762939453,2013-01-14 00:00:00-05:00
18.023332595825195,2013-01-15 00:00:00-05:00
18.25,2013-01-16 00:00:00-05:00
18.163333892822266,2013-01-17 00:00:00-05:00
18.453332901000977,2013-01-18 00:00:00-05:00
18.416667938232422,2013-01-22 00:00:00-05:00
18.633333206176758,2013-01-23 00:00:00-05:00
18.67333221435547,2013-01-24 00:00:00-05:00
18.906667709350586,2013-01-25 00:00:00-05:00
19.14666748046875,2013-01-28 00:00:00-05:00
18.940000534057617,2013-01-29 00:00:00-05:00
17.976667404174805,2013-01-30 00:00:00-05:00
18.453332901000977,2013-01-31 00:00:00-05:00
18.136667251586914,2013-02-01 00:00:00-05:00
17.78333282470703,2013-02-04 00:00:00-05:00
17.94333267211914,2013-02-05 00:00:00-05:00
18.046667098999023,2013-02-06 00:00:00-05:00
18.053333282470703,2013-02-07 00:00:00-05:00
18.35333251953125,2013-02-08 00:00:00-05:00
18.323333740234375,2013-02-11 00:00:00-05:00
18.90333366394043,2013-02-12 00:00:00-05:00
18.386667251586914,2013-02-13 00:00:00-05:00
18.57666778564453,2013-02-14 00:00:00-05:00
18.399999618530273,2013-02-15 00:00:00-05:00
18.5,2013-02-19 00:00:00-05:00
18.266666412353516,2013-02-20 00:00:00-05:00
18.206666946411133,2013-02-21 00:00:00-05:00
19.09666633605957,2013-02-22 00:00:00-05:00
19.07666778564453,2013-02-25 00:00:00-05:00
18.996667861938477,2013-02-26 00:00:00-05:00
19.30666732788086,2013-02-27 00:00:00-05:00
20.376667022705078,2013-02-28 00:00:00-05:00
19.516666412353516,2013-03-01 00:00:00-05:00
18.666667938232422,2013-03-04 00:00:00-05:00
18.946666717529297,2013-03-05 00:00:00-05:00
18.793333053588867,2013-03-06 00:00:00-05:00
18.796667098999023,2013-03-07 00:00:00-05:00
18.649999618530273,2013-03-08 00:00:00-05:00
18.583332061767578,2013-03-11 00:00:00-04:00
18.68666648864746,2013-03-12 00:00:00-04:00
18.799999237060547,2013-03-13 00:00:00-04:00
18.860000610351562,2013-03-14 00:00:00-04:00
18.76333236694336,2013-03-15 00:00:00-04:00
18.703332901000977,2013-03-18 00:00:00-04:00
18.65999984741211,2013-03-19 00:00:00-04:00
18.643333435058594,2013-03-20 00:00:00-04:00
18.546667098999023,2013-03-21 00:00:00-04:00
18.17333221435547,2013-03-22 00:00:00-04:00
18.18000030517578,2013-03-25 00:00:00-04:00
17.99333381652832,2013-03-26 00:00:00-04:00
18.84000015258789,2013-03-27 00:00:00-04:00
18.866666793823242,2013-03-28 00:00:00-04:00
18.446666717529297,2013-04-01 00:00:00-04:00
18.293333053588867,2013-04-02 00:00:00-04:00
17.883333206176758,2013-04-03 00:00:00-04:00
17.676666259765625,2013-04-04 00:00:00-04:00
17.670000076293945,2013-04-05 00:00:00-04:00
17.266666412353516,2013-04-08 00:00:00-04:00
17.649999618530273,2013-04-09 00:00:00-04:00
18.23666763305664,2013-04-10 00:00:00-04:00
18.053333282470703,2013-04-11 00:00:00-04:00
17.71666717529297,2013-04-12 00:00:00-04:00
17.23666763305664,2013-04-15 00:00:00-04:00
17.516666412353516,2013-04-16 00:00:00-04:00
17.31333351135254,2013-04-17 00:00:00-04:00
17.166667938232422,2013-04-18 00:00:00-04:00
16.90333366394043,2013-04-19 00:00:00-04:00
17.126667022705078,2013-04-22 00:00:00-04:00
17.703332901000977,2013-04-23 00:00:00-04:00
18.003332138061523,2013-04-24 00:00:00-04:00
18.053333282470703,2013-04-25 00:00:00-04:00
17.8700008392334,2013-04-26 00:00:00-04:00
18.023332595825195,2013-04-29 00:00:00-04:00
18.03333282470703,2013-04-30 00:00:00-04:00
17.226667404174805,2013-05-01 00:00:00-04:00
17.600000381469727,2013-05-02 00:00:00-04:00
18.1299991607666,2013-05-03 00:00:00-04:00
17.959999084472656,2013-05-06 00:00:00-04:00
17.573333740234375,2013-05-07 00:00:00-04:00
16.553333282470703,2013-05-08 00:00:00-04:00
16.56999969482422,2013-05-09 00:00:00-04:00
16.57666778564453,2013-05-10 00:00:00-04:00
16.760000228881836,2013-05-13 00:00:00-04:00
17.420000076293945,2013-05-14 00:00:00-04:00
17.543333053588867,2013-05-15 00:00:00-04:00
18.030000686645508,2013-05-16 00:00:00-04:00
18.809999465942383,2013-05-17 00:00:00-04:00
18.09000015258789,2013-05-20 00:00:00-04:00
17.543333053588867,2013-05-21 00:00:00-04:00
17.40333366394043,2013-05-22 00:00:00-04:00
17.3700008392334,2013-05-23 00:00:00-04:00
17.459999084472656,2013-05-24 00:00:00-04:00
17.926666259765625,2013-05-28 00:00:00-04:00
18.253332138061523,2013-05-29 00:00:00-04:00
18.1299991607666,2013-05-30 00:00:00-04:00
16.17333221435547,2013-05-31 00:00:00-04:00
15.276666641235352,2013-06-03 00:00:00-04:00
14.686667442321777,2013-06-04 00:00:00-04:00
14.803333282470703,2013-06-05 00:00:00-04:00
15.0,2013-06-06 00:00:00-04:00
15.399999618530273,2013-06-07 00:00:00-04:00
15.486666679382324,2013-06-10 00:00:00-04:00
15.59333324432373,2013-06-11 00:00:00-04:00
15.196666717529297,2013-06-12 00:00:00-04:00
15.069999694824219,2013-06-13 00:00:00-04:00
14.373332977294922,2013-06-14 00:00:00-04:00
14.383333206176758,2013-06-17 00:00:00-04:00
13.866666793823242,2013-06-18 00:00:00-04:00
14.020000457763672,2013-06-19 00:00:00-04:00
13.953332901000977,2013-06-20 00:00:00-04:00
13.683333396911621,2013-06-21 00:00:00-04:00
13.186667442321777,2013-06-24 00:00:00-04:00
13.856666564941406,2013-06-25 00:00:00-04:00
14.026666641235352,2013-06-26 00:00:00-04:00
14.793333053588867,2013-06-27 00:00:00-04:00
14.053333282470703,2013-06-28 00:00:00-04:00
14.073332786560059,2013-07-01 00:00:00-04:00
13.716667175292969,2013-07-02 00:00:00-04:00
14.300000190734863,2013-07-03 00:00:00-04:00
14.096667289733887,2013-07-05 00:00:00-04:00
14.279999732971191,2013-07-08 00:00:00-04:00
14.363332748413086,2013-07-09 00:00:00-04:00
14.739999771118164,2013-07-10 00:00:00-04:00
15.59000015258789,2013-07-11 00:00:00-04:00
15.476667404174805,2013-07-12 00:00:00-04:00
15.603333473205566,2013-07-15 00:00:00-04:00
15.50333309173584,2013-07-16 00:00:00-04:00
15.779999732971191,2013-07-17 00:00:00-04:00
16.229999542236328,2013-07-18 00:00:00-04:00
16.60333251953125,2013-07-19 00:00:00-04:00
16.516666412353516,2013-07-22 00:00:00-04:00
16.18000030517578,2013-07-23 00:00:00-04:00
16.18000030517578,2013-07-24 00:00:00-04:00
16.6200008392334,2013-07-25 00:00:00-04:00
16.43000030517578,2013-07-26 00:00:00-04:00
16.246667861938477,2013-07-29 00:00:00-04:00
16.25666618347168,2013-07-30 00:00:00-04:00
16.31333351135254,2013-07-31 00:00:00-04:00
16.386667251586914,2013-08-01 00:00:00-04:00
16.43666648864746,2013-08-02 00:00:00-04:00
