ZM,Date
76.04000091552734,2019-09-27 00:00:00-04:00
76.19999694824219,2019-09-30 00:00:00-04:00
75.80999755859375,2019-10-01 00:00:00-04:00
73.8499984741211,2019-10-02 00:00:00-04:00
76.83000183105469,2019-10-03 00:00:00-04:00
76.52999877929688,2019-10-04 00:00:00-04:00
76.98999786376953,2019-10-07 00:00:00-04:00
73.58999633789062,2019-10-08 00:00:00-04:00
72.86000061035156,2019-10-09 00:00:00-04:00
71.01000213623047,2019-10-10 00:00:00-04:00
71.3499984741211,2019-10-11 00:00:00-04:00
70.80000305175781,2019-10-14 00:00:00-04:00
71.11000061035156,2019-10-15 00:00:00-04:00
67.69000244140625,2019-10-16 00:00:00-04:00
67.02999877929688,2019-10-17 00:00:00-04:00
66.08000183105469,2019-10-18 00:00:00-04:00
65.7699966430664,2019-10-21 00:00:00-04:00
62.0,2019-10-22 00:00:00-04:00
62.060001373291016,2019-10-23 00:00:00-04:00
64.5199966430664,2019-10-24 00:00:00-04:00
63.45000076293945,2019-10-25 00:00:00-04:00
66.55999755859375,2019-10-28 00:00:00-04:00
65.48999786376953,2019-10-29 00:00:00-04:00
70.0,2019-10-30 00:00:00-04:00
69.88999938964844,2019-10-31 00:00:00-04:00
70.38999938964844,2019-11-01 00:00:00-04:00
70.12000274658203,2019-11-04 00:00:00-05:00
66.88999938964844,2019-11-05 00:00:00-05:00
66.83000183105469,2019-11-06 00:00:00-05:00
66.80999755859375,2019-11-07 00:00:00-05:00
69.8499984741211,2019-11-08 00:00:00-05:00
68.38999938964844,2019-11-11 00:00:00-05:00
68.0,2019-11-12 00:00:00-05:00
68.01000213623047,2019-11-13 00:00:00-05:00
67.73999786376953,2019-11-14 00:00:00-05:00
70.01000213623047,2019-11-15 00:00:00-05:00
70.08000183105469,2019-11-18 00:00:00-05:00
69.63999938964844,2019-11-19 00:00:00-05:00
70.98999786376953,2019-11-20 00:00:00-05:00
69.91999816894531,2019-11-21 00:00:00-05:00
73.16000366210938,2019-11-22 00:00:00-05:00
74.55000305175781,2019-11-25 00:00:00-05:00
75.16000366210938,2019-11-26 00:00:00-05:00
74.08000183105469,2019-11-27 00:00:00-05:00
74.5,2019-11-29 00:00:00-05:00
68.93000030517578,2019-12-02 00:00:00-05:00
70.0199966430664,2019-12-03 00:00:00-05:00
69.95999908447266,2019-12-04 00:00:00-05:00
69.66999816894531,2019-12-05 00:00:00-05:00
62.7400016784668,2019-12-06 00:00:00-05:00
65.94000244140625,2019-12-09 00:00:00-05:00
64.56999969482422,2019-12-10 00:00:00-05:00
63.52000045776367,2019-12-11 00:00:00-05:00
62.4900016784668,2019-12-12 00:00:00-05:00
63.540000915527344,2019-12-13 00:00:00-05:00
66.3499984741211,2019-12-16 00:00:00-05:00
66.16999816894531,2019-12-17 00:00:00-05:00
67.5999984741211,2019-12-18 00:00:00-05:00
68.18000030517578,2019-12-19 00:00:00-05:00
66.93000030517578,2019-12-20 00:00:00-05:00
66.1500015258789,2019-12-23 00:00:00-05:00
66.45999908447266,2019-12-24 00:00:00-05:00
67.44999694824219,2019-12-26 00:00:00-05:00
66.63999938964844,2019-12-27 00:00:00-05:00
66.79000091552734,2019-12-30 00:00:00-05:00
68.04000091552734,2019-12-31 00:00:00-05:00
68.72000122070312,2020-01-02 00:00:00-05:00
67.27999877929688,2020-01-03 00:00:00-05:00
70.31999969482422,2020-01-06 00:00:00-05:00
71.9000015258789,2020-01-07 00:00:00-05:00
72.55000305175781,2020-01-08 00:00:00-05:00
72.62000274658203,2020-01-09 00:00:00-05:00
73.08999633789062,2020-01-10 00:00:00-05:00
74.02999877929688,2020-01-13 00:00:00-05:00
73.16000366210938,2020-01-14 00:00:00-05:00
76.94000244140625,2020-01-15 00:00:00-05:00
76.11000061035156,2020-01-16 00:00:00-05:00
75.55999755859375,2020-01-17 00:00:00-05:00
76.7300033569336,2020-01-21 00:00:00-05:00
75.54000091552734,2020-01-22 00:00:00-05:00
74.47000122070312,2020-01-23 00:00:00-05:00
73.0,2020-01-24 00:00:00-05:00
70.44000244140625,2020-01-27 00:00:00-05:00
71.51000213623047,2020-01-28 00:00:00-05:00
73.58000183105469,2020-01-29 00:00:00-05:00
74.54000091552734,2020-01-30 00:00:00-05:00
76.30000305175781,2020-01-31 00:00:00-05:00
87.66000366210938,2020-02-03 00:00:00-05:00
85.79000091552734,2020-02-04 00:00:00-05:00
86.98999786376953,2020-02-05 00:00:00-05:00
87.26000213623047,2020-02-06 00:00:00-05:00
88.63999938964844,2020-02-07 00:00:00-05:00
89.66999816894531,2020-02-10 00:00:00-05:00
88.68000030517578,2020-02-11 00:00:00-05:00
88.27999877929688,2020-02-12 00:00:00-05:00
89.86000061035156,2020-02-13 00:00:00-05:00
90.94999694824219,2020-02-14 00:00:00-05:00
96.38999938964844,2020-02-18 00:00:00-05:00
103.93000030517578,2020-02-19 00:00:00-05:00
105.29000091552734,2020-02-20 00:00:00-05:00
101.76000213623047,2020-02-21 00:00:00-05:00
105.01000213623047,2020-02-24 00:00:00-05:00
107.08000183105469,2020-02-25 00:00:00-05:00
106.87999725341797,2020-02-26 00:00:00-05:00
113.55000305175781,2020-02-27 00:00:00-05:00
105.0,2020-02-28 00:00:00-05:00
