GOOGL,Date
4.735735893249512,2005-01-26 00:00:00-05:00
4.706707000732422,2005-01-27 00:00:00-05:00
4.76326322555542,2005-01-28 00:00:00-05:00
4.895394802093506,2005-01-31 00:00:00-05:00
4.80230188369751,2005-02-01 00:00:00-05:00
5.154153823852539,2005-02-02 00:00:00-05:00
5.2767767906188965,2005-02-03 00:00:00-05:00
5.114113807678223,2005-02-04 00:00:00-05:00
4.905655860900879,2005-02-07 00:00:00-05:00
4.97097110748291,2005-02-08 00:00:00-05:00
4.7942938804626465,2005-02-09 00:00:00-05:00
4.704204082489014,2005-02-10 00:00:00-05:00
4.689690113067627,2005-02-11 00:00:00-05:00
4.829579830169678,2005-02-14 00:00:00-05:00
4.885635852813721,2005-02-15 00:00:00-05:00
4.96521520614624,2005-02-16 00:00:00-05:00
4.952452182769775,2005-02-17 00:00:00-05:00
4.953703880310059,2005-02-18 00:00:00-05:00
4.789039134979248,2005-02-22 00:00:00-05:00
4.853603839874268,2005-02-23 00:00:00-05:00
4.7269768714904785,2005-02-24 00:00:00-05:00
4.651401042938232,2005-02-25 00:00:00-05:00
4.704453945159912,2005-02-28 00:00:00-05:00
4.656156063079834,2005-03-01 00:00:00-05:00
4.634133815765381,2005-03-02 00:00:00-05:00
4.679930210113525,2005-03-03 00:00:00-05:00
4.652152061462402,2005-03-04 00:00:00-05:00
4.724975109100342,2005-03-07 00:00:00-05:00
4.634634971618652,2005-03-08 00:00:00-05:00
4.538288116455078,2005-03-09 00:00:00-05:00
4.504004001617432,2005-03-10 00:00:00-05:00
4.449449062347412,2005-03-11 00:00:00-05:00
4.379128932952881,2005-03-14 00:00:00-05:00
4.469719886779785,2005-03-15 00:00:00-05:00
4.3943939208984375,2005-03-16 00:00:00-05:00
4.48673677444458,2005-03-17 00:00:00-05:00
4.5055060386657715,2005-03-18 00:00:00-05:00
4.526526927947998,2005-03-21 00:00:00-05:00
4.46946907043457,2005-03-22 00:00:00-05:00
4.478979110717773,2005-03-23 00:00:00-05:00
4.485735893249512,2005-03-24 00:00:00-05:00
4.540040016174316,2005-03-28 00:00:00-05:00
4.493743896484375,2005-03-29 00:00:00-05:00
4.515766143798828,2005-03-30 00:00:00-05:00
