CEG,Date
56.32204818725586,2022-06-29 00:00:00-04:00
56.272911071777344,2022-06-30 00:00:00-04:00
56.60704803466797,2022-07-01 00:00:00-04:00
53.99290084838867,2022-07-05 00:00:00-04:00
55.781524658203125,2022-07-06 00:00:00-04:00
58.09101486206055,2022-07-07 00:00:00-04:00
58.621707916259766,2022-07-08 00:00:00-04:00
58.808433532714844,2022-07-11 00:00:00-04:00
58.20895004272461,2022-07-12 00:00:00-04:00
58.788780212402344,2022-07-13 00:00:00-04:00
56.92152786254883,2022-07-14 00:00:00-04:00
54.70048904418945,2022-07-15 00:00:00-04:00
53.865142822265625,2022-07-18 00:00:00-04:00
54.0518684387207,2022-07-19 00:00:00-04:00
53.137901306152344,2022-07-20 00:00:00-04:00
53.226348876953125,2022-07-21 00:00:00-04:00
53.06910705566406,2022-07-22 00:00:00-04:00
54.01255798339844,2022-07-25 00:00:00-04:00
54.543251037597656,2022-07-26 00:00:00-04:00
54.57273483276367,2022-07-27 00:00:00-04:00
63.47654342651367,2022-07-28 00:00:00-04:00
64.96051025390625,2022-07-29 00:00:00-04:00
64.17430877685547,2022-08-01 00:00:00-04:00
64.70499420166016,2022-08-02 00:00:00-04:00
66.01206970214844,2022-08-03 00:00:00-04:00
66.29706573486328,2022-08-04 00:00:00-04:00
73.01915740966797,2022-08-05 00:00:00-04:00
74.58175659179688,2022-08-08 00:00:00-04:00
74.41468811035156,2022-08-09 00:00:00-04:00
75.7905502319336,2022-08-10 00:00:00-04:00
77.4710693359375,2022-08-11 00:00:00-04:00
80.23857116699219,2022-08-12 00:00:00-04:00
79.94320678710938,2022-08-15 00:00:00-04:00
80.1401138305664,2022-08-16 00:00:00-04:00
78.46642303466797,2022-08-17 00:00:00-04:00
80.3370132446289,2022-08-18 00:00:00-04:00
79.5887680053711,2022-08-19 00:00:00-04:00
78.41720581054688,2022-08-22 00:00:00-04:00
78.5156478881836,2022-08-23 00:00:00-04:00
79.12605285644531,2022-08-24 00:00:00-04:00
81.4593734741211,2022-08-25 00:00:00-04:00
79.57894134521484,2022-08-26 00:00:00-04:00
79.74630737304688,2022-08-29 00:00:00-04:00
78.45658111572266,2022-08-30 00:00:00-04:00
80.3271713256836,2022-08-31 00:00:00-04:00
81.2427749633789,2022-09-01 00:00:00-04:00
79.81521606445312,2022-09-02 00:00:00-04:00
80.98680114746094,2022-09-06 00:00:00-04:00
81.61689758300781,2022-09-07 00:00:00-04:00
84.46216583251953,2022-09-08 00:00:00-04:00
86.15554809570312,2022-09-09 00:00:00-04:00
86.76593780517578,2022-09-12 00:00:00-04:00
85.04302978515625,2022-09-13 00:00:00-04:00
86.68717956542969,2022-09-14 00:00:00-04:00
85.45653533935547,2022-09-15 00:00:00-04:00
84.24556732177734,2022-09-16 00:00:00-04:00
87.97691345214844,2022-09-19 00:00:00-04:00
86.39180755615234,2022-09-20 00:00:00-04:00
85.92911529541016,2022-09-21 00:00:00-04:00
84.05850219726562,2022-09-22 00:00:00-04:00
82.55218505859375,2022-09-23 00:00:00-04:00
81.63658905029297,2022-09-26 00:00:00-04:00
82.67033386230469,2022-09-27 00:00:00-04:00
83.70408630371094,2022-09-28 00:00:00-04:00
81.75472259521484,2022-09-29 00:00:00-04:00
81.90240478515625,2022-09-30 00:00:00-04:00
85.2497787475586,2022-10-03 00:00:00-04:00
87.95721435546875,2022-10-04 00:00:00-04:00
86.8053207397461,2022-10-05 00:00:00-04:00
84.944580078125,2022-10-06 00:00:00-04:00
83.08383178710938,2022-10-07 00:00:00-04:00
83.40872955322266,2022-10-10 00:00:00-04:00
81.59720611572266,2022-10-11 00:00:00-04:00
80.88835906982422,2022-10-12 00:00:00-04:00
82.52265930175781,2022-10-13 00:00:00-04:00
80.00228118896484,2022-10-14 00:00:00-04:00
83.87145233154297,2022-10-17 00:00:00-04:00
85.1710205078125,2022-10-18 00:00:00-04:00
84.36370849609375,2022-10-19 00:00:00-04:00
83.2511978149414,2022-10-20 00:00:00-04:00
85.92911529541016,2022-10-21 00:00:00-04:00
86.22445678710938,2022-10-24 00:00:00-04:00
86.78563690185547,2022-10-25 00:00:00-04:00
87.40587615966797,2022-10-26 00:00:00-04:00
91.59994506835938,2022-10-27 00:00:00-04:00
92.29896545410156,2022-10-28 00:00:00-04:00
93.07673645019531,2022-10-31 00:00:00-04:00
94.04155731201172,2022-11-01 00:00:00-04:00
91.649169921875,2022-11-02 00:00:00-04:00
92.9487533569336,2022-11-03 00:00:00-04:00
92.86014556884766,2022-11-04 00:00:00-04:00
92.05282592773438,2022-11-07 00:00:00-05:00
86.18508911132812,2022-11-08 00:00:00-05:00
85.9980239868164,2022-11-09 00:00:00-05:00
93.66744995117188,2022-11-10 00:00:00-05:00
90.88125610351562,2022-11-11 00:00:00-05:00
92.6077880859375,2022-11-14 00:00:00-05:00
92.19365692138672,2022-11-15 00:00:00-05:00
90.39908599853516,2022-11-16 00:00:00-05:00
88.79186248779297,2022-11-17 00:00:00-05:00
91.99645233154297,2022-11-18 00:00:00-05:00
92.08518981933594,2022-11-21 00:00:00-05:00
94.92495727539062,2022-11-22 00:00:00-05:00
95.27006530761719,2022-11-23 00:00:00-05:00
95.80252075195312,2022-11-25 00:00:00-05:00
93.4853515625,2022-11-28 00:00:00-05:00
93.11065673828125,2022-11-29 00:00:00-05:00
94.77705383300781,2022-11-30 00:00:00-05:00
93.15010070800781,2022-12-01 00:00:00-05:00
90.7540512084961,2022-12-02 00:00:00-05:00
88.80171966552734,2022-12-05 00:00:00-05:00
89.51166534423828,2022-12-06 00:00:00-05:00
90.6850357055664,2022-12-07 00:00:00-05:00
90.13285064697266,2022-12-08 00:00:00-05:00
88.46646881103516,2022-12-09 00:00:00-05:00
89.6102523803711,2022-12-12 00:00:00-05:00
89.57081604003906,2022-12-13 00:00:00-05:00
89.58068084716797,2022-12-14 00:00:00-05:00
88.44673919677734,2022-12-15 00:00:00-05:00
86.96771240234375,2022-12-16 00:00:00-05:00
86.50426483154297,2022-12-19 00:00:00-05:00
86.33663940429688,2022-12-20 00:00:00-05:00
88.39744567871094,2022-12-21 00:00:00-05:00
86.10984802246094,2022-12-22 00:00:00-05:00
86.8099365234375,2022-12-23 00:00:00-05:00
86.41551971435547,2022-12-27 00:00:00-05:00
85.39991760253906,2022-12-28 00:00:00-05:00
85.55768585205078,2022-12-29 00:00:00-05:00
85.00550079345703,2022-12-30 00:00:00-05:00
80.76558685302734,2023-01-03 00:00:00-05:00
82.24462890625,2023-01-04 00:00:00-05:00
81.25860595703125,2023-01-05 00:00:00-05:00
82.3333740234375,2023-01-06 00:00:00-05:00
82.82638549804688,2023-01-09 00:00:00-05:00
81.91924285888672,2023-01-10 00:00:00-05:00
82.9348373413086,2023-01-11 00:00:00-05:00
83.16162872314453,2023-01-12 00:00:00-05:00
83.97017669677734,2023-01-13 00:00:00-05:00
82.20519256591797,2023-01-17 00:00:00-05:00
80.70642852783203,2023-01-18 00:00:00-05:00
79.71054077148438,2023-01-19 00:00:00-05:00
81.8403549194336,2023-01-20 00:00:00-05:00
82.96442413330078,2023-01-23 00:00:00-05:00
82.73763275146484,2023-01-24 00:00:00-05:00
82.23477172851562,2023-01-25 00:00:00-05:00
84.68011474609375,2023-01-26 00:00:00-05:00
85.3703384399414,2023-01-27 00:00:00-05:00
81.24874114990234,2023-01-30 00:00:00-05:00
84.1673812866211,2023-01-31 00:00:00-05:00
84.21669006347656,2023-02-01 00:00:00-05:00
84.13780975341797,2023-02-02 00:00:00-05:00
82.03755950927734,2023-02-03 00:00:00-05:00
82.09673309326172,2023-02-06 00:00:00-05:00
84.72942352294922,2023-02-07 00:00:00-05:00
83.16162872314453,2023-02-08 00:00:00-05:00
83.24050903320312,2023-02-09 00:00:00-05:00
85.59712219238281,2023-02-10 00:00:00-05:00
85.18299102783203,2023-02-13 00:00:00-05:00
84.85760498046875,2023-02-14 00:00:00-05:00
84.80831146240234,2023-02-15 00:00:00-05:00
84.43360900878906,2023-02-16 00:00:00-05:00
83.36870574951172,2023-02-17 00:00:00-05:00
79.24710083007812,2023-02-21 00:00:00-05:00
76.71300506591797,2023-02-22 00:00:00-05:00
78.11317443847656,2023-02-23 00:00:00-05:00
78.44169616699219,2023-02-24 00:00:00-05:00
77.55111694335938,2023-02-27 00:00:00-05:00
74.10746765136719,2023-02-28 00:00:00-05:00
73.57310485839844,2023-03-01 00:00:00-05:00
75.38397979736328,2023-03-02 00:00:00-05:00
78.15473937988281,2023-03-03 00:00:00-05:00
77.97662353515625,2023-03-06 00:00:00-05:00
