QQQE,Date
17.565855026245117,2012-03-21
17.50002670288086,2012-03-22
17.482481002807617,2012-03-23
17.74576759338379,2012-03-26
17.71944236755371,2012-03-27
17.539520263671875,2012-03-28
17.548294067382812,2012-03-29
17.58341407775879,2012-03-30
17.66239356994629,2012-04-02
17.504419326782227,2012-04-03
17.315725326538086,2012-04-04
17.35521697998047,2012-04-05
17.162141799926758,2012-04-09
16.841796875,2012-04-10
16.99100685119629,2012-04-11
17.22357940673828,2012-04-12
17.04366111755371,2012-04-13
16.925172805786133,2012-04-16
17.19724464416504,2012-04-17
17.214799880981445,2012-04-18
17.02610969543457,2012-04-19
16.982223510742188,2012-04-20
16.71454620361328,2012-04-23
16.767210006713867,2012-04-24
16.872520446777344,2012-04-25
17.153362274169922,2012-04-26
17.18408203125,2012-04-27
17.276233673095703,2012-04-30
17.346435546875,2012-05-01
17.363996505737305,2012-05-02
17.074378967285156,2012-05-03
16.6794376373291,2012-05-04
16.675050735473633,2012-05-07
16.574129104614258,2012-05-08
16.46442413330078,2012-05-09
16.4205379486084,2012-05-10
16.525854110717773,2012-05-11
16.394207000732422,2012-05-14
16.38982391357422,2012-05-15
16.183582305908203,2012-05-16
15.88518238067627,2012-05-17
15.630667686462402,2012-05-18
16.008047103881836,2012-05-21
15.99927043914795,2012-05-22
16.060707092285156,2012-05-23
15.845688819885254,2012-05-24
15.990497589111328,2012-05-25
16.148473739624023,2012-05-29
15.902735710144043,2012-05-30
15.902735710144043,2012-05-31
15.354214668273926,2012-06-01
15.42880630493164,2012-06-04
15.437585830688477,2012-06-05
15.964166641235352,2012-06-06
15.88518238067627,2012-06-07
16.02560806274414,2012-06-08
15.801804542541504,2012-06-11
15.801804542541504,2012-06-12
15.801804542541504,2012-06-13
15.92906379699707,2012-06-14
15.92906379699707,2012-06-15
15.92906379699707,2012-06-18
16.46442413330078,2012-06-19
16.522911071777344,2012-06-20
15.933595657348633,2012-06-21
15.933595657348633,2012-06-22
15.814848899841309,2012-06-25
15.973173141479492,2012-06-26
16.069931030273438,2012-06-27
15.832447052001953,2012-06-28
16.36458969116211,2012-06-29
16.29861831665039,2012-07-02
16.514116287231445,2012-07-03
16.544898986816406,2012-07-05
16.20625877380371,2012-07-06
16.105112075805664,2012-07-09
15.920400619506836,2012-07-10
15.863227844238281,2012-07-11
15.740092277526855,2012-07-12
15.880820274353027,2012-07-13
15.735686302185059,2012-07-16
15.806052207946777,2012-07-17
15.806052207946777,2012-07-18
16.29861831665039,2012-07-19
16.29861831665039,2012-07-20
15.770873069763184,2012-07-23
15.612545013427734,2012-07-24
15.669721603393555,2012-07-25
15.951187133789062,2012-07-26
16.408567428588867,2012-07-27
16.245845794677734,2012-07-30
16.19307518005371,2012-07-31
16.162281036376953,2012-08-01
16.052345275878906,2012-08-02
16.052345275878906,2012-08-03
16.566890716552734,2012-08-06
16.79999351501465,2012-08-07
16.79999351501465,2012-08-08
16.804384231567383,2012-08-09
16.865951538085938,2012-08-10
16.79558563232422,2012-08-13
16.839563369750977,2012-08-14
16.839563369750977,2012-08-15
17.085847854614258,2012-08-16
17.085847854614258,2012-08-17
17.02427101135254,2012-08-20
16.94951057434082,2012-08-21
16.94951057434082,2012-08-22
16.94951057434082,2012-08-23
16.914329528808594,2012-08-24
16.914329528808594,2012-08-27
16.914329528808594,2012-08-28
16.883543014526367,2012-08-29
16.7208194732666,2012-08-30
16.79558563232422,2012-08-31
16.79558563232422,2012-09-04
16.79558563232422,2012-09-05
17.068254470825195,2012-09-06
17.165008544921875,2012-09-07
17.165008544921875,2012-09-10
17.04186248779297,2012-09-11
17.072649002075195,2012-09-12
17.03746795654297,2012-09-13
17.42447853088379,2012-09-14
17.314537048339844,2012-09-17
17.314537048339844,2012-09-18
17.369840621948242,2012-09-19
17.369840621948242,2012-09-20
17.369840621948242,2012-09-21
17.201717376708984,2012-09-24
17.175168991088867,2012-09-25
17.175168991088867,2012-09-26
17.175168991088867,2012-09-27
17.175168991088867,2012-09-28
17.060136795043945,2012-10-01
17.060136795043945,2012-10-02
17.060136795043945,2012-10-03
17.060136795043945,2012-10-04
17.228267669677734,2012-10-05
17.228267669677734,2012-10-08
17.228267669677734,2012-10-09
16.80794906616211,2012-10-10
16.719463348388672,2012-10-11
16.719463348388672,2012-10-12
16.763710021972656,2012-10-15
16.958377838134766,2012-10-16
16.9937801361084,2012-10-17
16.86989974975586,2012-10-18
16.728322982788086,2012-10-19
16.728322982788086,2012-10-22
16.356678009033203,2012-10-23
16.356678009033203,2012-10-24
16.356678009033203,2012-10-25
16.47613525390625,2012-10-26
16.47613525390625,2012-10-31
16.542491912841797,2012-11-01
16.542491912841797,2012-11-02
16.746013641357422,2012-11-05
16.746013641357422,2012-11-06
16.746013641357422,2012-11-07
16.746013641357422,2012-11-08
16.356678009033203,2012-11-09
16.356678009033203,2012-11-12
16.325706481933594,2012-11-13
16.325706481933594,2012-11-14
16.325706481933594,2012-11-15
16.091217041015625,2012-11-16
16.330127716064453,2012-11-19
16.365522384643555,2012-11-20
16.365522384643555,2012-11-21
16.365522384643555,2012-11-23
16.635404586791992,2012-11-26
16.701772689819336,2012-11-27
16.520370483398438,2012-11-28
16.94952964782715,2012-11-29
16.94952964782715,2012-11-30
16.94952964782715,2012-12-03
16.94952964782715,2012-12-04
16.936254501342773,2012-12-05
16.936254501342773,2012-12-06
16.98935317993164,2012-12-07
17.042444229125977,2012-12-10
17.201717376708984,2012-12-11
17.201717376708984,2012-12-12
17.201717376708984,2012-12-13
17.201717376708984,2012-12-14
17.263654708862305,2012-12-17
17.341876983642578,2012-12-18
17.50631332397461,2012-12-19
17.50187873840332,2012-12-20
17.23077392578125,2012-12-21
17.23077392578125,2012-12-24
17.23077392578125,2012-12-26
17.07965850830078,2012-12-27
16.941884994506836,2012-12-28
16.866331100463867,2012-12-31
17.657426834106445,2013-01-02
17.701875686645508,2013-01-03
17.73297882080078,2013-01-04
17.737424850463867,2013-01-07
17.737424850463867,2013-01-08
17.737424850463867,2013-01-09
17.737424850463867,2013-01-10
17.89297866821289,2013-01-11
17.964082717895508,2013-01-14
17.964082717895508,2013-01-15
17.964082717895508,2013-01-16
18.128530502319336,2013-01-17
18.14185905456543,2013-01-18
18.150753021240234,2013-01-22
18.19964027404785,2013-01-23
18.252967834472656,2013-01-24
18.45296859741211,2013-01-25
18.506301879882812,2013-01-28
18.395187377929688,2013-01-29
18.355182647705078,2013-01-30
18.37297248840332,2013-01-31
18.604074478149414,2013-02-01
18.38629722595215,2013-02-04
18.577409744262695,2013-02-05
18.519628524780273,2013-02-06
18.466306686401367,2013-02-07
18.621849060058594,2013-02-08
18.6529598236084,2013-02-11
18.617406845092773,2013-02-12
18.62629508972168,2013-02-13
18.62629508972168,2013-02-14
18.644073486328125,2013-02-15
18.710739135742188,2013-02-19
18.43962860107422,2013-02-20
18.235187530517578,2013-02-21
18.33297348022461,2013-02-22
